Time,ParameterName,ParameterValue
2020-11-01T06:00:00Z,TA_PT1H_AVG,6.5
2020-11-01T06:00:00Z,TA_PT1H_MAX,6.7
2020-11-01T06:00:00Z,TA_PT1H_MIN,6.2
2020-11-01T06:00:00Z,RH_PT1H_AVG,93.0
2020-11-01T06:00:00Z,WS_PT1H_AVG,2.9
2020-11-01T06:00:00Z,WS_PT1H_MAX,3.6
2020-11-01T06:00:00Z,WS_PT1H_MIN,2.5
2020-11-01T06:00:00Z,WD_PT1H_AVG,162.0
2020-11-01T06:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T06:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T06:00:00Z,PA_PT1H_AVG,1022.5
2020-11-01T06:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T07:00:00Z,TA_PT1H_AVG,6.5
2020-11-01T07:00:00Z,TA_PT1H_MAX,6.6
2020-11-01T07:00:00Z,TA_PT1H_MIN,6.3
2020-11-01T07:00:00Z,RH_PT1H_AVG,94.0
2020-11-01T07:00:00Z,WS_PT1H_AVG,3.5
2020-11-01T07:00:00Z,WS_PT1H_MAX,3.8
2020-11-01T07:00:00Z,WS_PT1H_MIN,3.0
2020-11-01T07:00:00Z,WD_PT1H_AVG,155.0
2020-11-01T07:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T07:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T07:00:00Z,PA_PT1H_AVG,1022.3
2020-11-01T07:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T08:00:00Z,TA_PT1H_AVG,6.7
2020-11-01T08:00:00Z,TA_PT1H_MAX,6.8
2020-11-01T08:00:00Z,TA_PT1H_MIN,6.5
2020-11-01T08:00:00Z,RH_PT1H_AVG,93.0
2020-11-01T08:00:00Z,WS_PT1H_AVG,3.1
2020-11-01T08:00:00Z,WS_PT1H_MAX,3.5
2020-11-01T08:00:00Z,WS_PT1H_MIN,2.9
2020-11-01T08:00:00Z,WD_PT1H_AVG,162.0
2020-11-01T08:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T08:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T08:00:00Z,PA_PT1H_AVG,1022.2
2020-11-01T08:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T09:00:00Z,TA_PT1H_AVG,7.1
2020-11-01T09:00:00Z,TA_PT1H_MAX,7.4
2020-11-01T09:00:00Z,TA_PT1H_MIN,6.8
2020-11-01T09:00:00Z,RH_PT1H_AVG,89.0
2020-11-01T09:00:00Z,WS_PT1H_AVG,3.5
2020-11-01T09:00:00Z,WS_PT1H_MAX,4.0
2020-11-01T09:00:00Z,WS_PT1H_MIN,2.8
2020-11-01T09:00:00Z,WD_PT1H_AVG,164.0
2020-11-01T09:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T09:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T09:00:00Z,PA_PT1H_AVG,1022.0
2020-11-01T09:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T10:00:00Z,TA_PT1H_AVG,7.4
2020-11-01T10:00:00Z,TA_PT1H_MAX,7.4
2020-11-01T10:00:00Z,TA_PT1H_MIN,7.4
2020-11-01T10:00:00Z,RH_PT1H_AVG,85.0
2020-11-01T10:00:00Z,WS_PT1H_AVG,4.1
2020-11-01T10:00:00Z,WS_PT1H_MAX,4.5
2020-11-01T10:00:00Z,WS_PT1H_MIN,3.7
2020-11-01T10:00:00Z,WD_PT1H_AVG,164.0
2020-11-01T10:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T10:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T10:00:00Z,PA_PT1H_AVG,1021.7
2020-11-01T10:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T11:00:00Z,TA_PT1H_AVG,7.4
2020-11-01T11:00:00Z,TA_PT1H_MAX,7.5
2020-11-01T11:00:00Z,TA_PT1H_MIN,7.3
2020-11-01T11:00:00Z,RH_PT1H_AVG,85.0
2020-11-01T11:00:00Z,WS_PT1H_AVG,3.8
2020-11-01T11:00:00Z,WS_PT1H_MAX,4.3
2020-11-01T11:00:00Z,WS_PT1H_MIN,3.1
2020-11-01T11:00:00Z,WD_PT1H_AVG,160.0
2020-11-01T11:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T11:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T11:00:00Z,PA_PT1H_AVG,1021.4
2020-11-01T11:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T12:00:00Z,TA_PT1H_AVG,7.4
2020-11-01T12:00:00Z,TA_PT1H_MAX,7.5
2020-11-01T12:00:00Z,TA_PT1H_MIN,7.3
2020-11-01T12:00:00Z,RH_PT1H_AVG,82.0
2020-11-01T12:00:00Z,WS_PT1H_AVG,4.0
2020-11-01T12:00:00Z,WS_PT1H_MAX,4.6
2020-11-01T12:00:00Z,WS_PT1H_MIN,3.5
2020-11-01T12:00:00Z,WD_PT1H_AVG,165.0
2020-11-01T12:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T12:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T12:00:00Z,PA_PT1H_AVG,1021.1
2020-11-01T12:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T13:00:00Z,TA_PT1H_AVG,7.4
2020-11-01T13:00:00Z,TA_PT1H_MAX,7.4
2020-11-01T13:00:00Z,TA_PT1H_MIN,7.2
2020-11-01T13:00:00Z,RH_PT1H_AVG,81.0
2020-11-01T13:00:00Z,WS_PT1H_AVG,4.4
2020-11-01T13:00:00Z,WS_PT1H_MAX,4.9
2020-11-01T13:00:00Z,WS_PT1H_MIN,3.3
2020-11-01T13:00:00Z,WD_PT1H_AVG,159.0
2020-11-01T13:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T13:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T13:00:00Z,PA_PT1H_AVG,1020.5
2020-11-01T13:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T14:00:00Z,TA_PT1H_AVG,7.3
2020-11-01T14:00:00Z,TA_PT1H_MAX,7.4
2020-11-01T14:00:00Z,TA_PT1H_MIN,7.2
2020-11-01T14:00:00Z,RH_PT1H_AVG,82.0
2020-11-01T14:00:00Z,WS_PT1H_AVG,4.2
2020-11-01T14:00:00Z,WS_PT1H_MAX,5.1
2020-11-01T14:00:00Z,WS_PT1H_MIN,3.5
2020-11-01T14:00:00Z,WD_PT1H_AVG,160.0
2020-11-01T14:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T14:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T14:00:00Z,PA_PT1H_AVG,1020.0
2020-11-01T14:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T15:00:00Z,TA_PT1H_AVG,7.3
2020-11-01T15:00:00Z,TA_PT1H_MAX,7.4
2020-11-01T15:00:00Z,TA_PT1H_MIN,7.1
2020-11-01T15:00:00Z,RH_PT1H_AVG,83.0
2020-11-01T15:00:00Z,WS_PT1H_AVG,4.4
2020-11-01T15:00:00Z,WS_PT1H_MAX,4.9
2020-11-01T15:00:00Z,WS_PT1H_MIN,3.5
2020-11-01T15:00:00Z,WD_PT1H_AVG,160.0
2020-11-01T15:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T15:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T15:00:00Z,PA_PT1H_AVG,1019.5
2020-11-01T15:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T16:00:00Z,TA_PT1H_AVG,7.2
2020-11-01T16:00:00Z,TA_PT1H_MAX,7.3
2020-11-01T16:00:00Z,TA_PT1H_MIN,7.0
2020-11-01T16:00:00Z,RH_PT1H_AVG,84.0
2020-11-01T16:00:00Z,WS_PT1H_AVG,4.9
2020-11-01T16:00:00Z,WS_PT1H_MAX,5.7
2020-11-01T16:00:00Z,WS_PT1H_MIN,4.1
2020-11-01T16:00:00Z,WD_PT1H_AVG,156.0
2020-11-01T16:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T16:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T16:00:00Z,PA_PT1H_AVG,1018.8
2020-11-01T16:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T17:00:00Z,TA_PT1H_AVG,7.2
2020-11-01T17:00:00Z,TA_PT1H_MAX,7.3
2020-11-01T17:00:00Z,TA_PT1H_MIN,7.0
2020-11-01T17:00:00Z,RH_PT1H_AVG,83.0
2020-11-01T17:00:00Z,WS_PT1H_AVG,4.7
2020-11-01T17:00:00Z,WS_PT1H_MAX,5.6
2020-11-01T17:00:00Z,WS_PT1H_MIN,4.1
2020-11-01T17:00:00Z,WD_PT1H_AVG,166.0
2020-11-01T17:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T17:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T17:00:00Z,PA_PT1H_AVG,1018.3
2020-11-01T17:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T18:00:00Z,TA_PT1H_AVG,7.3
2020-11-01T18:00:00Z,TA_PT1H_MAX,7.4
2020-11-01T18:00:00Z,TA_PT1H_MIN,7.1
2020-11-01T18:00:00Z,RH_PT1H_AVG,79.0
2020-11-01T18:00:00Z,WS_PT1H_AVG,4.0
2020-11-01T18:00:00Z,WS_PT1H_MAX,4.5
2020-11-01T18:00:00Z,WS_PT1H_MIN,3.4
2020-11-01T18:00:00Z,WD_PT1H_AVG,173.0
2020-11-01T18:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T18:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T18:00:00Z,PA_PT1H_AVG,1017.9
2020-11-01T18:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T19:00:00Z,TA_PT1H_AVG,7.1
2020-11-01T19:00:00Z,TA_PT1H_MAX,7.2
2020-11-01T19:00:00Z,TA_PT1H_MIN,6.8
2020-11-01T19:00:00Z,RH_PT1H_AVG,82.0
2020-11-01T19:00:00Z,WS_PT1H_AVG,4.5
2020-11-01T19:00:00Z,WS_PT1H_MAX,5.9
2020-11-01T19:00:00Z,WS_PT1H_MIN,3.7
2020-11-01T19:00:00Z,WD_PT1H_AVG,161.0
2020-11-01T19:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T19:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T19:00:00Z,PA_PT1H_AVG,1017.3
2020-11-01T19:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T20:00:00Z,TA_PT1H_AVG,6.7
2020-11-01T20:00:00Z,TA_PT1H_MAX,6.9
2020-11-01T20:00:00Z,TA_PT1H_MIN,6.5
2020-11-01T20:00:00Z,RH_PT1H_AVG,84.0
2020-11-01T20:00:00Z,WS_PT1H_AVG,6.1
2020-11-01T20:00:00Z,WS_PT1H_MAX,6.6
2020-11-01T20:00:00Z,WS_PT1H_MIN,5.7
2020-11-01T20:00:00Z,WD_PT1H_AVG,153.0
2020-11-01T20:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T20:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T20:00:00Z,PA_PT1H_AVG,1016.8
2020-11-01T20:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T21:00:00Z,TA_PT1H_AVG,6.6
2020-11-01T21:00:00Z,TA_PT1H_MAX,6.6
2020-11-01T21:00:00Z,TA_PT1H_MIN,6.5
2020-11-01T21:00:00Z,RH_PT1H_AVG,84.0
2020-11-01T21:00:00Z,WS_PT1H_AVG,5.3
2020-11-01T21:00:00Z,WS_PT1H_MAX,6.8
2020-11-01T21:00:00Z,WS_PT1H_MIN,5.0
2020-11-01T21:00:00Z,WD_PT1H_AVG,154.0
2020-11-01T21:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T21:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T21:00:00Z,PA_PT1H_AVG,1016.5
2020-11-01T21:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T22:00:00Z,TA_PT1H_AVG,6.7
2020-11-01T22:00:00Z,TA_PT1H_MAX,6.9
2020-11-01T22:00:00Z,TA_PT1H_MIN,6.5
2020-11-01T22:00:00Z,RH_PT1H_AVG,85.0
2020-11-01T22:00:00Z,WS_PT1H_AVG,4.9
2020-11-01T22:00:00Z,WS_PT1H_MAX,5.4
2020-11-01T22:00:00Z,WS_PT1H_MIN,4.2
2020-11-01T22:00:00Z,WD_PT1H_AVG,161.0
2020-11-01T22:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T22:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T22:00:00Z,PA_PT1H_AVG,1016.0
2020-11-01T22:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T23:00:00Z,TA_PT1H_AVG,7.0
2020-11-01T23:00:00Z,TA_PT1H_MAX,7.2
2020-11-01T23:00:00Z,TA_PT1H_MIN,6.8
2020-11-01T23:00:00Z,RH_PT1H_AVG,83.0
2020-11-01T23:00:00Z,WS_PT1H_AVG,5.6
2020-11-01T23:00:00Z,WS_PT1H_MAX,6.0
2020-11-01T23:00:00Z,WS_PT1H_MIN,4.4
2020-11-01T23:00:00Z,WD_PT1H_AVG,162.0
2020-11-01T23:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T23:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T23:00:00Z,PA_PT1H_AVG,1015.2
2020-11-01T23:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T00:00:00Z,TA_PT1H_AVG,7.3
2020-11-02T00:00:00Z,TA_PT1H_MAX,7.5
2020-11-02T00:00:00Z,TA_PT1H_MIN,7.1
2020-11-02T00:00:00Z,RH_PT1H_AVG,78.0
2020-11-02T00:00:00Z,WS_PT1H_AVG,6.5
2020-11-02T00:00:00Z,WS_PT1H_MAX,7.8
2020-11-02T00:00:00Z,WS_PT1H_MIN,5.2
2020-11-02T00:00:00Z,WD_PT1H_AVG,170.0
2020-11-02T00:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T00:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T00:00:00Z,PA_PT1H_AVG,1014.4
2020-11-02T00:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T01:00:00Z,TA_PT1H_AVG,7.2
2020-11-02T01:00:00Z,TA_PT1H_MAX,7.3
2020-11-02T01:00:00Z,TA_PT1H_MIN,7.1
2020-11-02T01:00:00Z,RH_PT1H_AVG,78.0
2020-11-02T01:00:00Z,WS_PT1H_AVG,6.6
2020-11-02T01:00:00Z,WS_PT1H_MAX,7.7
2020-11-02T01:00:00Z,WS_PT1H_MIN,5.5
2020-11-02T01:00:00Z,WD_PT1H_AVG,169.0
2020-11-02T01:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T01:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T01:00:00Z,PA_PT1H_AVG,1014.0
2020-11-02T01:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T02:00:00Z,TA_PT1H_AVG,7.1
2020-11-02T02:00:00Z,TA_PT1H_MAX,7.2
2020-11-02T02:00:00Z,TA_PT1H_MIN,6.7
2020-11-02T02:00:00Z,RH_PT1H_AVG,77.0
2020-11-02T02:00:00Z,WS_PT1H_AVG,7.3
2020-11-02T02:00:00Z,WS_PT1H_MAX,8.2
2020-11-02T02:00:00Z,WS_PT1H_MIN,6.3
2020-11-02T02:00:00Z,WD_PT1H_AVG,172.0
2020-11-02T02:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T02:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T02:00:00Z,PA_PT1H_AVG,1013.7
2020-11-02T02:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T03:00:00Z,TA_PT1H_AVG,6.6
2020-11-02T03:00:00Z,TA_PT1H_MAX,6.7
2020-11-02T03:00:00Z,TA_PT1H_MIN,6.5
2020-11-02T03:00:00Z,RH_PT1H_AVG,81.0
2020-11-02T03:00:00Z,WS_PT1H_AVG,6.7
2020-11-02T03:00:00Z,WS_PT1H_MAX,7.8
2020-11-02T03:00:00Z,WS_PT1H_MIN,6.1
2020-11-02T03:00:00Z,WD_PT1H_AVG,163.0
2020-11-02T03:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T03:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T03:00:00Z,PA_PT1H_AVG,1012.9
2020-11-02T03:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T04:00:00Z,TA_PT1H_AVG,6.2
2020-11-02T04:00:00Z,TA_PT1H_MAX,6.6
2020-11-02T04:00:00Z,TA_PT1H_MIN,6.0
2020-11-02T04:00:00Z,RH_PT1H_AVG,82.0
2020-11-02T04:00:00Z,WS_PT1H_AVG,7.6
2020-11-02T04:00:00Z,WS_PT1H_MAX,8.5
2020-11-02T04:00:00Z,WS_PT1H_MIN,6.6
2020-11-02T04:00:00Z,WD_PT1H_AVG,160.0
2020-11-02T04:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T04:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T04:00:00Z,PA_PT1H_AVG,1012.0
2020-11-02T04:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T05:00:00Z,TA_PT1H_AVG,6.0
2020-11-02T05:00:00Z,TA_PT1H_MAX,6.2
2020-11-02T05:00:00Z,TA_PT1H_MIN,5.8
2020-11-02T05:00:00Z,RH_PT1H_AVG,80.0
2020-11-02T05:00:00Z,WS_PT1H_AVG,7.7
2020-11-02T05:00:00Z,WS_PT1H_MAX,8.7
2020-11-02T05:00:00Z,WS_PT1H_MIN,6.7
2020-11-02T05:00:00Z,WD_PT1H_AVG,167.0
2020-11-02T05:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T05:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T05:00:00Z,PA_PT1H_AVG,1011.5
2020-11-02T05:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T06:00:00Z,TA_PT1H_AVG,5.7
2020-11-02T06:00:00Z,TA_PT1H_MAX,5.8
2020-11-02T06:00:00Z,TA_PT1H_MIN,5.6
2020-11-02T06:00:00Z,RH_PT1H_AVG,79.0
2020-11-02T06:00:00Z,WS_PT1H_AVG,8.6
2020-11-02T06:00:00Z,WS_PT1H_MAX,9.6
2020-11-02T06:00:00Z,WS_PT1H_MIN,7.4
2020-11-02T06:00:00Z,WD_PT1H_AVG,164.0
2020-11-02T06:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T06:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T06:00:00Z,PA_PT1H_AVG,1010.5
2020-11-02T06:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T07:00:00Z,TA_PT1H_AVG,5.6
2020-11-02T07:00:00Z,TA_PT1H_MAX,5.7
2020-11-02T07:00:00Z,TA_PT1H_MIN,5.5
2020-11-02T07:00:00Z,RH_PT1H_AVG,78.0
2020-11-02T07:00:00Z,WS_PT1H_AVG,8.8
2020-11-02T07:00:00Z,WS_PT1H_MAX,10.1
2020-11-02T07:00:00Z,WS_PT1H_MIN,7.9
2020-11-02T07:00:00Z,WD_PT1H_AVG,164.0
2020-11-02T07:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T07:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T07:00:00Z,PA_PT1H_AVG,1009.9
2020-11-02T07:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T08:00:00Z,TA_PT1H_AVG,5.6
2020-11-02T08:00:00Z,TA_PT1H_MAX,5.7
2020-11-02T08:00:00Z,TA_PT1H_MIN,5.5
2020-11-02T08:00:00Z,RH_PT1H_AVG,79.0
2020-11-02T08:00:00Z,WS_PT1H_AVG,9.3
2020-11-02T08:00:00Z,WS_PT1H_MAX,10.6
2020-11-02T08:00:00Z,WS_PT1H_MIN,8.0
2020-11-02T08:00:00Z,WD_PT1H_AVG,161.0
2020-11-02T08:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T08:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T08:00:00Z,PA_PT1H_AVG,1009.2
2020-11-02T08:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T09:00:00Z,TA_PT1H_AVG,5.3
2020-11-02T09:00:00Z,TA_PT1H_MAX,5.5
2020-11-02T09:00:00Z,TA_PT1H_MIN,5.2
2020-11-02T09:00:00Z,RH_PT1H_AVG,83.0
2020-11-02T09:00:00Z,WS_PT1H_AVG,8.8
2020-11-02T09:00:00Z,WS_PT1H_MAX,10.4
2020-11-02T09:00:00Z,WS_PT1H_MIN,7.6
2020-11-02T09:00:00Z,WD_PT1H_AVG,160.0
2020-11-02T09:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T09:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T09:00:00Z,PA_PT1H_AVG,1008.2
2020-11-02T09:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T10:00:00Z,TA_PT1H_AVG,5.1
2020-11-02T10:00:00Z,TA_PT1H_MAX,5.2
2020-11-02T10:00:00Z,TA_PT1H_MIN,5.1
2020-11-02T10:00:00Z,RH_PT1H_AVG,82.0
2020-11-02T10:00:00Z,WS_PT1H_AVG,9.3
2020-11-02T10:00:00Z,WS_PT1H_MAX,10.4
2020-11-02T10:00:00Z,WS_PT1H_MIN,7.6
2020-11-02T10:00:00Z,WD_PT1H_AVG,163.0
2020-11-02T10:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T10:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T10:00:00Z,PA_PT1H_AVG,1007.2
2020-11-02T10:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T11:00:00Z,TA_PT1H_AVG,5.3
2020-11-02T11:00:00Z,TA_PT1H_MAX,5.4
2020-11-02T11:00:00Z,TA_PT1H_MIN,5.2
2020-11-02T11:00:00Z,RH_PT1H_AVG,81.0
2020-11-02T11:00:00Z,WS_PT1H_AVG,9.0
2020-11-02T11:00:00Z,WS_PT1H_MAX,10.5
2020-11-02T11:00:00Z,WS_PT1H_MIN,7.8
2020-11-02T11:00:00Z,WD_PT1H_AVG,160.0
2020-11-02T11:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T11:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T11:00:00Z,PA_PT1H_AVG,1006.4
2020-11-02T11:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-02T12:00:00Z,TA_PT1H_AVG,5.6
2020-11-02T12:00:00Z,TA_PT1H_MAX,5.7
2020-11-02T12:00:00Z,TA_PT1H_MIN,5.4
2020-11-02T12:00:00Z,RH_PT1H_AVG,79.0
2020-11-02T12:00:00Z,WS_PT1H_AVG,10.3
2020-11-02T12:00:00Z,WS_PT1H_MAX,11.1
2020-11-02T12:00:00Z,WS_PT1H_MIN,9.5
2020-11-02T12:00:00Z,WD_PT1H_AVG,156.0
2020-11-02T12:00:00Z,PRA_PT1H_ACC,NaN
2020-11-02T12:00:00Z,PRI_PT1H_MAX,NaN
2020-11-02T12:00:00Z,PA_PT1H_AVG,1004.3
2020-11-02T12:00:00Z,WAWA_PT1H_RANK,NaN
